table_name,column_name,foreign_table,foreign_column
active_sessions,user_id,users,id
board_anchors,board_id,boards,id
board_anchors,user_id,users,id
board_folder_items,board_id,boards,id
board_folder_items,folder_id,board_folders,id
board_folders,owner_id,users,id
boards,owner_id,users,id
demo_trials,first_paid_plan_id,subscription_plans,id
demo_trials,user_id,users,id
favorites,favorite_user_id,users,id
favorites,user_id,users,id
feature_usage,user_id,users,id
fogrup_chat_participants,user_id,users,id
fogrup_chat_participants,chat_id,fogrup_chats,id
fogrup_messages,chat_id,fogrup_chats,id
fogrup_messages,sender_id,users,id
fogrup_notifications,relationship_id,relationships,id
fogrup_notifications,chat_id,fogrup_chats,id
fogrup_notifications,from_user_id,users,id
fogrup_notifications,user_id,users,id
image_library,share_approved_by,users,id
image_library,shared_folder_id,shared_folders,id
image_library,user_id,users,id
image_rename_audit,user_id,users,id
image_rename_audit,image_id,image_library,id
notes,board_id,boards,id
password_resets,user_id,users,id
promo_code_usages,promo_code_id,promo_codes,id
promo_code_usages,user_id,users,id
promo_codes,target_plan_id,subscription_plans,id
promo_codes,created_by,users,id
relationships,target_id,users,id
relationships,initiator_id,users,id
shared_folders,created_by,users,id
stickers,user_id,users,id
stickers,board_id,boards,id
subscription_history,user_id,users,id
subscription_history,plan_id,subscription_plans,id
system_logs,user_id,users,id
telegram_link_codes,user_id,users,id
user_comments,user_id,users,id
user_verifications,user_id,users,id
user_verifications,processed_by,users,id
users,plan_id,subscription_plans,id
verified_emails,user_id,users,id
