table_name,column_name,data_type,is_nullable
active_sessions,id,integer,NO
active_sessions,user_id,integer,NO
active_sessions,token_signature,character varying,NO
active_sessions,ip_address,character varying,YES
active_sessions,user_agent,text,YES
active_sessions,device_id,character varying,YES
active_sessions,device_name,character varying,YES
active_sessions,created_at,timestamp without time zone,YES
active_sessions,last_seen,timestamp without time zone,YES
active_sessions,expires_at,timestamp without time zone,NO
board_anchors,id,integer,NO
board_anchors,board_id,integer,NO
board_anchors,user_id,integer,NO
board_anchors,pos_x,integer,NO
board_anchors,pos_y,integer,NO
board_anchors,description,text,YES
board_anchors,created_at,timestamp with time zone,YES
board_anchors,updated_at,timestamp with time zone,YES
board_folder_items,id,integer,NO
board_folder_items,folder_id,integer,NO
board_folder_items,board_id,integer,NO
board_folder_items,added_at,timestamp without time zone,NO
board_folders,id,integer,NO
board_folders,owner_id,integer,NO
board_folders,name,character varying,NO
board_folders,created_at,timestamp without time zone,NO
board_folders,updated_at,timestamp without time zone,NO
boards,id,integer,NO
boards,owner_id,integer,NO
boards,name,character varying,NO
boards,description,text,YES
boards,content,jsonb,YES
boards,thumbnail_url,character varying,YES
boards,is_public,boolean,YES
boards,created_at,timestamp without time zone,YES
boards,updated_at,timestamp without time zone,YES
boards,object_count,integer,YES
boards,is_locked,boolean,YES
boards,archived,boolean,YES
boards,lock_status,USER-DEFINED,YES
boards,lock_timer_started_at,timestamp without time zone,YES
demo_trials,id,integer,NO
demo_trials,user_id,integer,NO
demo_trials,started_at,timestamp without time zone,YES
demo_trials,ended_at,timestamp without time zone,YES
demo_trials,converted_to_paid,boolean,YES
demo_trials,converted_at,timestamp without time zone,YES
demo_trials,first_paid_plan_id,integer,YES
demo_trials,days_to_conversion,integer,YES
demo_trials,created_at,timestamp without time zone,YES
email_verification_codes,id,integer,NO
email_verification_codes,email,character varying,NO
email_verification_codes,code,character varying,NO
email_verification_codes,expires_at,timestamp without time zone,NO
email_verification_codes,created_at,timestamp without time zone,YES
email_verification_codes,used,boolean,YES
email_verification_codes,used_at,timestamp without time zone,YES
email_verification_codes,ip_address,character varying,YES
favorites,id,integer,NO
favorites,user_id,integer,NO
favorites,favorite_user_id,integer,NO
favorites,created_at,timestamp without time zone,YES
feature_usage,id,integer,NO
feature_usage,user_id,integer,NO
feature_usage,feature_name,character varying,NO
feature_usage,usage_count,integer,YES
feature_usage,last_used_at,timestamp without time zone,YES
feature_usage,metadata,jsonb,YES
feature_usage,created_at,timestamp without time zone,YES
fogrup_chat_participants,id,integer,NO
fogrup_chat_participants,chat_id,integer,NO
fogrup_chat_participants,user_id,integer,NO
fogrup_chat_participants,role,character varying,YES
fogrup_chat_participants,joined_at,timestamp with time zone,YES
fogrup_chat_participants,last_read_at,timestamp with time zone,YES
fogrup_chats,id,integer,NO
fogrup_chats,chat_type,character varying,YES
fogrup_chats,name,character varying,YES
fogrup_chats,created_at,timestamp with time zone,YES
fogrup_chats,updated_at,timestamp with time zone,YES
fogrup_chats,last_message_at,timestamp with time zone,YES
fogrup_messages,id,integer,NO
fogrup_messages,chat_id,integer,NO
fogrup_messages,sender_id,integer,NO
fogrup_messages,text,text,NO
fogrup_messages,is_system,boolean,YES
fogrup_messages,status,character varying,YES
fogrup_messages,created_at,timestamp with time zone,YES
